[14.02.2020 19:39:23, поток 6] [DEBUG] Start...
[14.02.2020 19:39:24, поток 3] Спарсили куки
[14.02.2020 19:39:24, поток 2] Спарсили куки
[14.02.2020 19:39:24, поток 4] Спарсили куки
[14.02.2020 19:39:24, поток 7] [DEBUG] Start...
[14.02.2020 19:39:24, поток 5] Спарсили куки
[14.02.2020 19:39:24, поток 7] [DEBUG, ERROR] xNet.HttpException: Не удалось соединиться с HTTP-сервером 'www.instagram.com'. ---> xNet.ProxyException: Получен неверный код статуса 'BadGateway' от прокси-сервера '194.183.168.4:20562'.
   в xNet.HttpProxyClient.CreateConnection(String destinationHost, Int32 destinationPort, TcpClient tcpClient)
   в xNet.HttpRequest.CreateTcpConnection(String host, Int32 port)
   --- Конец трассировки внутреннего стека исключений ---
   в xNet.HttpRequest.CreateTcpConnection(String host, Int32 port)
   в xNet.HttpRequest.CreateConnection(Uri address)
   в xNet.HttpRequest.TryCreateConnectionOrUseExisting(Uri address, Uri previousAddress)
   в xNet.HttpRequest.Request(HttpMethod method, Uri address, HttpContent content)
   в xNet.HttpRequest.Raw(HttpMethod method, Uri address, HttpContent content)
   в xNet.HttpRequest.Raw(HttpMethod method, String address, HttpContent content)
   в xNet.HttpRequest.Get(String address, RequestParams urlParams)
   в InstaImap.Instagram.GetCookie() в D:\MaXiMAA\MaXiMAAOld\C#Готово\KWORK\InstaDirectMessage_ButDev\InstaDirectMessage_ButDev\Instagram.cs:строка 64
   в InstaImap.Instagram..ctor(String Mail, String password, String id, String cookies, String DEVICEID, String ADID, String GUID, String PHONE_ID, Int32 Index, String Time, Int32 tt, String type, String text) в D:\MaXiMAA\MaXiMAAOld\C#Готово\KWORK\InstaDirectMessage_ButDev\InstaDirectMessage_ButDev\Instagram.cs:строка 142
[14.02.2020 19:39:24, поток 7] [DEBUG] Сменили прокси.
[14.02.2020 19:39:25, поток 8] [DEBUG] Start...
[14.02.2020 19:39:25, поток 1] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:25, поток 9] [DEBUG] Start...
[14.02.2020 19:39:25, поток 6] Спарсили куки
[14.02.2020 19:39:25, поток 0] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:26, поток 9] Спарсили куки
[14.02.2020 19:39:26, поток 4] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:26, поток 1] Спарсили куки
[14.02.2020 19:39:26, поток 8] Спарсили куки
[14.02.2020 19:39:26, поток 10] [DEBUG] Start...
[14.02.2020 19:39:26, поток 5] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:26, поток 3] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:26, поток 0] Спарсили куки
[14.02.2020 19:39:27, поток 4] Спарсили куки
[14.02.2020 19:39:27, поток 10] Спарсили куки
[14.02.2020 19:39:27, поток 9] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:27, поток 6] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:27, поток 5] Спарсили куки
[14.02.2020 19:39:27, поток 2] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:28, поток 9] Спарсили куки
[14.02.2020 19:39:28, поток 8] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:28, поток 3] Спарсили куки
[14.02.2020 19:39:28, поток 6] Спарсили куки
[14.02.2020 19:39:29, поток 8] Спарсили куки
[14.02.2020 19:39:29, поток 2] Спарсили куки
[14.02.2020 19:39:29, поток 10] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:39:30, поток 1] [DEBUG] Start...
[14.02.2020 19:39:30, поток 10] Спарсили куки
[14.02.2020 19:39:31, поток 0] [DEBUG] Start...
[14.02.2020 19:39:31, поток 4] [DEBUG] Start...
[14.02.2020 19:39:31, поток 1] Спарсили куки
[14.02.2020 19:39:31, поток 9] [DEBUG] Start...
[14.02.2020 19:39:32, поток 0] Спарсили куки
[14.02.2020 19:39:32, поток 4] Спарсили куки
[14.02.2020 19:39:32, поток 9] Спарсили куки
[14.02.2020 19:39:32, поток 6] [DEBUG] Start...
[14.02.2020 19:39:33, поток 3] [DEBUG] Start...
[14.02.2020 19:39:33, поток 8] [DEBUG] Start...
